what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1261306327781
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1261306332359
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261306366109
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261306367859
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261306407906
started,bundle,com.zylin.embeddedcdt,4.9.1,"com.zylin.embeddedcdt",1261306409937
started,bundle,org.eclipse.cdt.launch,6.0.0.200909110608,"org.eclipse.cdt.launch",1261306409968
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1261306825078
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1261306850203
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261306861578
error,log,,,"Failed command: target remote localhost:3333",1261306866546
error,log,,,"Failed command: monitor reset",1261306866656
error,log,,,"Failed command: monitor wait 500",1261306866765
error,log,,,"Failed command: monitor soft_reset_halt",1261306866890
error,log,,,"Failed command: monitor arm7_9 force_hw_bkpts enable",1261306866984
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1261306880281
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1261306933796
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1261306934296
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261306964390
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261306975562
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261306981812
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261306994265
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261307004125
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261307017906
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261307034437
